Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
78,Andre Iguodala,GSW,14814815.0,2017.0,33.0,SF,76.0,0.0,1998.0,64.0,177.0,155.0,238.0,51.0,253.0,262.0,76.0,39.0,97.0,574.0
79,DeMarre Carroll,BRK,14800000.0,2017.0,30.0,SF,72.0,72.0,1882.0,109.0,320.0,111.0,229.0,63.0,212.0,74.0,81.0,27.0,143.0,638.0
80,Thaddeus Young,IND,14796348.0,2017.0,28.0,PF,74.0,74.0,2237.0,45.0,118.0,317.0,569.0,131.0,318.0,122.0,114.0,30.0,135.0,814.0
81,Eric Bledsoe,MIL,14500000.0,2017.0,27.0,PG,66.0,66.0,2176.0,104.0,310.0,345.0,724.0,52.0,268.0,418.0,92.0,31.0,164.0,1390.0
82,Ricky Rubio,UTA,14275000.0,2017.0,26.0,PG,75.0,75.0,2469.0,60.0,196.0,201.0,454.0,68.0,237.0,682.0,128.0,10.0,202.0,836.0
83,Joe Ingles,UTA,14136364.0,2017.0,29.0,SF,82.0,26.0,1972.0,123.0,279.0,81.0,172.0,23.0,237.0,224.0,96.0,8.0,163.0,581.0
84,Gorgui Dieng,MIN,14112360.0,2017.0,27.0,PF,82.0,82.0,2653.0,16.0,43.0,316.0,618.0,188.0,459.0,158.0,88.0,95.0,254.0,816.0
85,Khris Middleton,MIL,14100000.0,2017.0,25.0,SF,29.0,23.0,889.0,45.0,104.0,105.0,229.0,11.0,112.0,99.0,41.0,7.0,79.0,426.0
86,Mason Plumlee,DEN,14041096.0,2017.0,26.0,C,81.0,64.0,2148.0,0.0,6.0,334.0,617.0,170.0,436.0,284.0,69.0,92.0,226.0,842.0
87,Mason Plumlee,DEN,14041096.0,2017.0,26.0,C,54.0,54.0,1516.0,0.0,5.0,235.0,437.0,120.0,313.0,214.0,50.0,63.0,149.0,597.0
88,Mason Plumlee,DEN,14041096.0,2017.0,26.0,C,27.0,10.0,632.0,0.0,1.0,99.0,180.0,50.0,123.0,70.0,19.0,29.0,77.0,245.0
89,Taj Gibson,MIN,14000000.0,2017.0,31.0,PF,78.0,71.0,1989.0,3.0,13.0,362.0,696.0,158.0,328.0,73.0,42.0,66.0,163.0,846.0
90,Taj Gibson,MIN,14000000.0,2017.0,31.0,PF,55.0,55.0,1502.0,2.0,12.0,274.0,518.0,120.0,263.0,60.0,28.0,51.0,123.0,639.0
91,Taj Gibson,MIN,14000000.0,2017.0,31.0,PF,23.0,16.0,487.0,1.0,1.0,88.0,178.0,38.0,65.0,13.0,14.0,15.0,40.0,207.0
92,James Johnson,MIA,13954000.0,2017.0,29.0,PF,76.0,5.0,2085.0,87.0,256.0,281.0,513.0,66.0,309.0,276.0,76.0,86.0,197.0,975.0
93,Robin Lopez,CHI,13788500.0,2017.0,28.0,C,81.0,81.0,2271.0,0.0,2.0,382.0,773.0,243.0,276.0,80.0,18.0,117.0,151.0,839.0
94,J.R. Smith,CLE,13760000.0,2017.0,31.0,SG,41.0,35.0,1187.0,95.0,271.0,28.0,85.0,17.0,96.0,62.0,40.0,11.0,77.0,351.0
95,Brandon Knight,PHO,13618750.0,2017.0,25.0,SG,54.0,5.0,1140.0,45.0,139.0,164.0,386.0,25.0,93.0,130.0,27.0,5.0,87.0,595.0
96,Marvin Williams,CHO,13168750.0,2017.0,30.0,PF,76.0,76.0,2295.0,124.0,354.0,173.0,350.0,89.0,409.0,106.0,58.0,53.0,134.0,849.0
97,Tyson Chandler,PHO,13000000.0,2017.0,34.0,C,47.0,46.0,1298.0,0.0,0.0,153.0,228.0,154.0,385.0,30.0,33.0,24.0,126.0,397.0
98,Michael Kidd-Gilchrist,CHO,13000000.0,2017.0,23.0,SF,81.0,81.0,2349.0,1.0,9.0,294.0,609.0,156.0,409.0,114.0,81.0,77.0,187.0,743.0
99,Eric Gordon,HOU,12943020.0,2017.0,28.0,SG,75.0,15.0,2323.0,246.0,661.0,166.0,355.0,29.0,172.0,188.0,48.0,40.0,150.0,1217.0
100,Kenneth Faried,DEN,12921348.0,2017.0,27.0,PF,61.0,34.0,1296.0,0.0,6.0,228.0,410.0,182.0,279.0,55.0,43.0,40.0,124.0,587.0
101,Marcin Gortat,WAS,12782609.0,2017.0,32.0,C,82.0,82.0,2556.0,0.0,2.0,390.0,672.0,238.0,611.0,121.0,40.0,65.0,213.0,883.0
102,Cody Zeller,CHO,12584270.0,2017.0,24.0,PF,62.0,58.0,1725.0,0.0,1.0,253.0,442.0,135.0,270.0,99.0,62.0,58.0,189.0,639.0
103,Miles Plumlee,ATL,12500000.0,2017.0,28.0,C,45.0,12.0,484.0,0.0,0.0,44.0,92.0,38.0,57.0,21.0,18.0,13.0,73.0,113.0
104,Miles Plumlee,ATL,12500000.0,2017.0,28.0,C,32.0,12.0,310.0,0.0,0.0,30.0,68.0,23.0,30.0,18.0,11.0,9.0,48.0,82.0
105,Miles Plumlee,ATL,12500000.0,2017.0,28.0,C,13.0,0.0,174.0,0.0,0.0,14.0,24.0,15.0,27.0,3.0,7.0,4.0,25.0,31.0
106,Nikola Mirotic,NOP,12500000.0,2017.0,25.0,PF,70.0,15.0,1679.0,129.0,377.0,129.0,248.0,61.0,323.0,75.0,53.0,56.0,128.0,744.0
