Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
321,Domantas Sabonis,IND,2550000.0,2017.0,20.0,PF,81.0,66.0,1632.0,51.0,159.0,141.0,322.0,45.0,242.0,82.0,39.0,32.0,200.0,479.0
322,Manu Ginobili,SAS,2500000.0,2017.0,39.0,SG,69.0,0.0,1291.0,89.0,227.0,82.0,212.0,28.0,129.0,183.0,82.0,16.0,119.0,517.0
323,Reggie Bullock,DET,2500000.0,2017.0,25.0,SF,31.0,5.0,467.0,28.0,73.0,26.0,55.0,13.0,51.0,29.0,18.0,3.0,22.0,141.0
324,Richard Jefferson,ATL,2500000.0,2017.0,36.0,SF,79.0,13.0,1614.0,62.0,186.0,91.0,157.0,28.0,174.0,78.0,26.0,10.0,153.0,448.0
325,Malcolm Delaney,ATL,2500000.0,2017.0,27.0,PG,73.0,2.0,1248.0,26.0,110.0,119.0,278.0,11.0,113.0,193.0,39.0,1.0,112.0,391.0
326,Bam Adebayo,MIA,2490360.0,,,,,,,,,,,,,,,,,
327,Bruno Caboclo,SAC,2451225.0,2017.0,21.0,SF,9.0,0.0,40.0,2.0,6.0,4.0,10.0,5.0,5.0,4.0,2.0,1.0,4.0,14.0
328,Ronnie Price,OKC,2442455.0,2017.0,33.0,PG,14.0,0.0,134.0,3.0,17.0,1.0,7.0,3.0,8.0,18.0,11.0,1.0,14.0,14.0
329,Trey Lyles,DEN,2441400.0,2017.0,21.0,PF,71.0,4.0,1158.0,65.0,204.0,94.0,235.0,48.0,187.0,70.0,26.0,20.0,97.0,440.0
330,Dario Saric,PHI,2422560.0,2017.0,22.0,PF,81.0,36.0,2129.0,106.0,341.0,275.0,586.0,112.0,401.0,182.0,57.0,30.0,162.0,1040.0
331,Taurean Waller-Prince,ATL,2422560.0,2017.0,22.0,SF,59.0,10.0,981.0,33.0,102.0,81.0,183.0,25.0,132.0,55.0,43.0,27.0,96.0,335.0
332,Rodney Hood,CLE,2386864.0,2017.0,24.0,SG,59.0,55.0,1593.0,114.0,307.0,158.0,359.0,16.0,186.0,96.0,38.0,11.0,132.0,748.0
333,Justin Jackson,SAC,2365560.0,,,,,,,,,,,,,,,,,
334,Shabazz Napier,POR,2361360.0,2017.0,25.0,PG,53.0,2.0,512.0,34.0,92.0,39.0,91.0,8.0,53.0,67.0,32.0,2.0,38.0,218.0
335,Clint Capela,HOU,2334520.0,2017.0,22.0,C,65.0,59.0,1551.0,0.0,0.0,362.0,563.0,178.0,348.0,64.0,34.0,80.0,179.0,818.0
336,Arron Afflalo,ORL,2328652.0,2017.0,31.0,SG,61.0,45.0,1580.0,62.0,151.0,123.0,269.0,9.0,116.0,78.0,21.0,7.0,104.0,515.0
337,Raymond Felton,OKC,2328652.0,2017.0,32.0,PG,80.0,11.0,1700.0,46.0,144.0,175.0,370.0,33.0,184.0,191.0,67.0,22.0,125.0,538.0
338,Nick Collison,OKC,2328652.0,2017.0,36.0,PF,20.0,0.0,128.0,0.0,1.0,14.0,22.0,9.0,21.0,12.0,2.0,2.0,17.0,33.0
339,Ramon Sessions,NYK,2328652.0,2017.0,30.0,PG,50.0,1.0,811.0,21.0,62.0,79.0,201.0,11.0,62.0,129.0,26.0,3.0,43.0,312.0
340,Jarrett Jack,NYK,2328652.0,2017.0,33.0,PG,2.0,0.0,33.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,4.0,6.0
341,Jason Terry,MIL,2328652.0,2017.0,39.0,SG,74.0,0.0,1365.0,73.0,171.0,32.0,72.0,15.0,91.0,98.0,45.0,20.0,95.0,307.0
342,Udonis Haslem,MIA,2328652.0,2017.0,36.0,C,17.0,0.0,130.0,0.0,3.0,11.0,20.0,8.0,28.0,6.0,5.0,1.0,22.0,31.0
343,Dwyane Wade,MIA,2328652.0,2017.0,35.0,SG,60.0,59.0,1792.0,45.0,145.0,369.0,810.0,64.0,207.0,229.0,86.0,41.0,112.0,1096.0
344,David West,GSW,2328652.0,2017.0,36.0,C,68.0,0.0,854.0,3.0,8.0,132.0,244.0,47.0,156.0,151.0,42.0,48.0,105.0,316.0
345,Richard Jefferson,DEN,2328652.0,2017.0,36.0,SF,79.0,13.0,1614.0,62.0,186.0,91.0,157.0,28.0,174.0,78.0,26.0,10.0,153.0,448.0
346,Jose Calderon,CLE,2328652.0,2017.0,35.0,PG,41.0,13.0,539.0,20.0,64.0,35.0,70.0,15.0,59.0,88.0,11.0,1.0,36.0,141.0
347,Jose Calderon,CLE,2328652.0,2017.0,35.0,PG,24.0,11.0,292.0,12.0,34.0,20.0,43.0,8.0,34.0,51.0,7.0,1.0,22.0,80.0
348,Jose Calderon,CLE,2328652.0,2017.0,35.0,PG,17.0,2.0,247.0,8.0,30.0,15.0,27.0,7.0,25.0,37.0,4.0,0.0,14.0,61.0
349,Andrew Bogut,LAL,2328652.0,2017.0,32.0,C,27.0,21.0,583.0,0.0,1.0,38.0,80.0,56.0,162.0,49.0,13.0,25.0,86.0,79.0
350,Andrew Bogut,LAL,2328652.0,2017.0,32.0,C,26.0,21.0,582.0,0.0,1.0,38.0,80.0,56.0,162.0,49.0,13.0,25.0,84.0,79.0
351,Andrew Bogut,LAL,2328652.0,2017.0,32.0,C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
352,Devin Booker,PHO,2319360.0,2017.0,20.0,SG,78.0,78.0,2730.0,147.0,405.0,459.0,1026.0,46.0,203.0,268.0,72.0,21.0,242.0,1726.0
353,Georgios Papagiannis,SAC,2301360.0,2017.0,19.0,C,22.0,0.0,355.0,0.0,2.0,56.0,100.0,24.0,62.0,20.0,3.0,17.0,44.0,124.0
354,Dante Cunningham,BRK,2300000.0,2017.0,29.0,SF,66.0,35.0,1649.0,71.0,181.0,103.0,178.0,56.0,221.0,36.0,39.0,28.0,100.0,435.0
355,Jameer Nelson,DET,2262871.0,2017.0,34.0,PG,75.0,39.0,2045.0,106.0,273.0,162.0,331.0,28.0,164.0,385.0,53.0,8.0,197.0,687.0
356,Justin Patton,MIN,2247480.0,,,,,,,,,,,,,,,,,
357,Guerschon Yabusele,BOS,2247480.0,,,,,,,,,,,,,,,,,
358,Monta Ellis,IND,2245400.0,2017.0,31.0,SG,74.0,33.0,1998.0,43.0,135.0,204.0,422.0,19.0,185.0,236.0,79.0,27.0,149.0,630.0
359,Cameron Payne,CHI,2203440.0,2017.0,22.0,PG,31.0,0.0,462.0,27.0,86.0,37.0,107.0,3.0,45.0,55.0,14.0,5.0,52.0,160.0
360,Cameron Payne,CHI,2203440.0,2017.0,22.0,PG,20.0,0.0,320.0,16.0,52.0,27.0,78.0,2.0,29.0,40.0,10.0,5.0,38.0,106.0
361,Cameron Payne,CHI,2203440.0,2017.0,22.0,PG,11.0,0.0,142.0,11.0,34.0,10.0,29.0,1.0,16.0,15.0,4.0,0.0,14.0,54.0
362,Denzel Valentine,CHI,2186400.0,2017.0,23.0,SG,57.0,0.0,976.0,73.0,208.0,29.0,80.0,11.0,140.0,63.0,30.0,7.0,86.0,291.0
363,Josh Smith,NOP,2183934.0,,,,,,,,,,,,,,,,,
364,Kyle Anderson,SAS,2151704.0,2017.0,23.0,SG,72.0,14.0,1020.0,15.0,40.0,78.0,169.0,33.0,175.0,91.0,51.0,26.0,63.0,246.0
365,D.J. Wilson,MIL,2135040.0,,,,,,,,,,,,,,,,,
366,Matt Barnes,SAC,2133542.0,2017.0,36.0,SF,74.0,18.0,1777.0,87.0,263.0,98.0,210.0,70.0,317.0,194.0,48.0,26.0,185.0,527.0
367,Matt Barnes,SAC,2133542.0,2017.0,36.0,SF,54.0,13.0,1367.0,69.0,211.0,78.0,172.0,55.0,241.0,149.0,36.0,17.0,138.0,413.0
368,Matt Barnes,SAC,2133542.0,2017.0,36.0,SF,20.0,5.0,410.0,18.0,52.0,20.0,38.0,15.0,76.0,45.0,12.0,9.0,47.0,114.0
369,Derrick Rose,UTA,2116955.0,2017.0,28.0,PG,64.0,64.0,2082.0,13.0,60.0,447.0,917.0,66.0,180.0,283.0,44.0,17.0,84.0,1154.0
370,Marreese Speights,ORL,2116955.0,2017.0,29.0,C,82.0,2.0,1286.0,103.0,277.0,141.0,271.0,88.0,285.0,66.0,23.0,41.0,229.0,711.0
371,Michael Beasley,NYK,2116955.0,2017.0,28.0,PF,56.0,6.0,935.0,18.0,43.0,198.0,363.0,40.0,153.0,53.0,28.0,27.0,92.0,528.0
372,Aaron Brooks,MIN,2116955.0,2017.0,32.0,PG,65.0,0.0,894.0,48.0,128.0,73.0,172.0,18.0,51.0,125.0,25.0,9.0,93.0,322.0
373,Luc Mbah a Moute,HOU,2116955.0,,,,,,,,,,,,,,,,,
374,JaVale McGee,GSW,2116955.0,2017.0,29.0,C,77.0,10.0,739.0,0.0,4.0,208.0,315.0,100.0,144.0,17.0,19.0,67.0,109.0,472.0
375,Jeff Green,CLE,2116955.0,2017.0,30.0,PF,69.0,11.0,1534.0,53.0,193.0,167.0,365.0,39.0,175.0,81.0,37.0,13.0,103.0,638.0
376,Tony Allen,CHI,2116955.0,2017.0,35.0,SG,71.0,66.0,1914.0,15.0,54.0,259.0,541.0,166.0,225.0,98.0,115.0,29.0,178.0,643.0
377,Damien Wilkins,IND,2116955.0,,,,,,,,,,,,,,,,,
378,Omri Casspi,GSW,2106470.0,2017.0,28.0,SF,36.0,2.0,643.0,15.0,43.0,62.0,122.0,27.0,85.0,37.0,23.0,3.0,50.0,186.0
379,Omri Casspi,GSW,2106470.0,2017.0,28.0,SF,22.0,2.0,397.0,11.0,29.0,42.0,88.0,20.0,70.0,26.0,10.0,1.0,23.0,129.0
380,Omri Casspi,GSW,2106470.0,2017.0,28.0,SF,1.0,0.0,24.0,2.0,4.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,12.0
381,Omri Casspi,GSW,2106470.0,2017.0,28.0,SF,13.0,0.0,222.0,2.0,10.0,17.0,29.0,6.0,14.0,11.0,13.0,2.0,24.0,45.0
382,Mario Chalmers,MEM,2106407.0,,,,,,,,,,,,,,,,,
383,Darius Miller,NOP,2100000.0,,,,,,,,,,,,,,,,,
384,Kelly Oubre,WAS,2093040.0,2017.0,21.0,SF,79.0,5.0,1605.0,54.0,188.0,132.0,254.0,61.0,199.0,47.0,58.0,17.0,195.0,501.0
385,Juan Hernangomez,DEN,2076840.0,2017.0,21.0,PF,62.0,9.0,842.0,46.0,113.0,55.0,111.0,43.0,144.0,29.0,29.0,12.0,62.0,305.0
386,T.J. Leaf,IND,2028360.0,,,,,,,,,,,,,,,,,
387,Tim Frazier,WAS,2000000.0,2017.0,26.0,PG,65.0,35.0,1525.0,40.0,128.0,123.0,276.0,34.0,139.0,335.0,56.0,6.0,133.0,464.0
388,Anthony Tolliver,SAC,2000000.0,2017.0,31.0,PF,65.0,9.0,1477.0,90.0,230.0,65.0,121.0,51.0,188.0,77.0,33.0,20.0,109.0,461.0
389,Terry Rozier,BOS,1988520.0,2017.0,22.0,PG,74.0,0.0,1263.0,57.0,179.0,94.0,232.0,40.0,187.0,131.0,45.0,11.0,69.0,410.0
390,Luke Babbitt,MIA,1974159.0,2017.0,27.0,SF,68.0,55.0,1065.0,87.0,210.0,26.0,71.0,13.0,129.0,36.0,21.0,11.0,118.0,324.0
391,John Collins,ATL,1936920.0,,,,,,,,,,,,,,,,,
392,Anderson Varejao,POR,1913345.0,2017.0,34.0,C,14.0,1.0,92.0,0.0,0.0,5.0,14.0,12.0,15.0,10.0,3.0,3.0,16.0,18.0
393,Rashad Vaughn,NOP,1889040.0,2017.0,20.0,SG,41.0,2.0,458.0,26.0,81.0,31.0,75.0,4.0,45.0,23.0,19.0,10.0,32.0,142.0
394,Tim Duncan,SAS,1881250.0,,,,,,,,,,,,,,,,,
395,Wade Baldwin,MEM,1874400.0,2017.0,20.0,PG,33.0,1.0,405.0,3.0,22.0,33.0,93.0,11.0,35.0,61.0,18.0,7.0,40.0,106.0
396,Larry Sanders,MIL,1865547.0,2017.0,28.0,C,5.0,0.0,13.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,5.0,4.0
397,Harry Giles,SAC,1859400.0,,,,,,,,,,,,,,,,,
398,Sam Dekker,LAC,1794600.0,2017.0,22.0,SF,77.0,2.0,1419.0,60.0,187.0,143.0,242.0,94.0,190.0,76.0,38.0,21.0,83.0,504.0
399,Terrance Ferguson,OKC,1785000.0,,,,,,,,,,,,,,,,,
400,Henry Ellenson,DET,1780800.0,2017.0,20.0,PF,19.0,2.0,146.0,10.0,35.0,13.0,29.0,8.0,33.0,7.0,1.0,1.0,6.0,60.0
401,Eric Moreland,DET,1739333.0,,,,,,,,,,,,,,,,,
402,Jerian Grant,CHI,1713840.0,2017.0,24.0,PG,63.0,28.0,1028.0,49.0,134.0,79.0,167.0,17.0,94.0,120.0,47.0,8.0,93.0,370.0
403,Jarrett Allen,BRK,1713720.0,,,,,,,,,,,,,,,,,
404,Mike Scott,WAS,1709538.0,2017.0,28.0,PF,18.0,0.0,195.0,4.0,27.0,13.0,32.0,10.0,27.0,17.0,4.0,3.0,12.0,45.0
405,Tyler Zeller,MIL,1709538.0,2017.0,27.0,C,51.0,5.0,525.0,0.0,1.0,78.0,157.0,43.0,81.0,42.0,7.0,21.0,61.0,178.0
406,Quincy Acy,BRK,1709538.0,2017.0,26.0,PF,38.0,1.0,558.0,37.0,90.0,33.0,80.0,20.0,95.0,18.0,14.0,15.0,67.0,222.0
407,Quincy Acy,BRK,1709538.0,2017.0,26.0,PF,6.0,0.0,48.0,1.0,7.0,4.0,10.0,2.0,6.0,0.0,0.0,0.0,9.0,13.0
408,Quincy Acy,BRK,1709538.0,2017.0,26.0,PF,32.0,1.0,510.0,36.0,83.0,29.0,70.0,18.0,89.0,18.0,14.0,15.0,58.0,209.0
409,Malik Beasley,DEN,1700640.0,2017.0,20.0,SG,22.0,1.0,165.0,9.0,28.0,24.0,45.0,5.0,12.0,11.0,7.0,0.0,10.0,83.0
410,Mike Dunleavy,ATL,1662500.0,2017.0,36.0,SF,53.0,2.0,841.0,53.0,134.0,40.0,86.0,18.0,97.0,50.0,15.0,7.0,67.0,275.0
411,Mike Dunleavy,ATL,1662500.0,2017.0,36.0,SF,23.0,2.0,366.0,20.0,57.0,16.0,33.0,5.0,42.0,20.0,6.0,2.0,32.0,106.0
412,Mike Dunleavy,ATL,1662500.0,2017.0,36.0,SF,30.0,0.0,475.0,33.0,77.0,24.0,53.0,13.0,55.0,30.0,9.0,5.0,35.0,169.0
413,Delon Wright,TOR,1645200.0,2017.0,24.0,PG,27.0,0.0,446.0,10.0,30.0,39.0,86.0,16.0,32.0,57.0,27.0,11.0,31.0,150.0
414,OG Anunoby,TOR,1645200.0,,,,,,,,,,,,,,,,,
415,Ante Zizic,CLE,1645200.0,,,,,,,,,,,,,,,,,
416,Caris LeVert,BRK,1632480.0,2017.0,22.0,SF,57.0,26.0,1237.0,59.0,184.0,112.0,196.0,23.0,165.0,110.0,49.0,8.0,91.0,468.0
417,Justin Anderson,PHI,1579440.0,2017.0,23.0,SF,75.0,10.0,1228.0,58.0,194.0,128.0,245.0,69.0,176.0,66.0,41.0,23.0,109.0,532.0
418,Justin Anderson,PHI,1579440.0,2017.0,23.0,SF,51.0,2.0,710.0,37.0,122.0,74.0,155.0,39.0,110.0,32.0,28.0,16.0,64.0,329.0
419,Justin Anderson,PHI,1579440.0,2017.0,23.0,SF,24.0,8.0,518.0,21.0,72.0,54.0,90.0,30.0,66.0,34.0,13.0,7.0,45.0,203.0
420,Tyler Lydon,DEN,1579440.0,,,,,,,,,,,,,,,,,
421,Jeff Withey,DAL,1577320.0,2017.0,26.0,C,51.0,1.0,432.0,0.0,1.0,55.0,102.0,52.0,69.0,7.0,16.0,32.0,52.0,146.0
422,Ian Clark,NOP,1577230.0,2017.0,25.0,SG,77.0,0.0,1137.0,61.0,163.0,150.0,270.0,22.0,100.0,90.0,39.0,8.0,77.0,527.0
423,Shabazz Muhammad,MIN,1577230.0,2017.0,24.0,SF,78.0,1.0,1516.0,49.0,146.0,239.0,452.0,84.0,136.0,35.0,22.0,6.0,86.0,772.0
424,Willie Reed,CHI,1577230.0,2017.0,26.0,C,71.0,5.0,1031.0,1.0,4.0,161.0,281.0,129.0,203.0,26.0,18.0,47.0,137.0,374.0
425,DeAndre Liggins,MIL,1577230.0,2017.0,28.0,SG,62.0,19.0,777.0,17.0,46.0,38.0,96.0,20.0,88.0,54.0,47.0,14.0,81.0,152.0
426,DeAndre Liggins,MIL,1577230.0,2017.0,28.0,SG,61.0,19.0,752.0,17.0,45.0,35.0,91.0,17.0,84.0,54.0,45.0,14.0,78.0,144.0
427,DeAndre Liggins,MIL,1577230.0,2017.0,28.0,SG,1.0,0.0,25.0,0.0,1.0,3.0,5.0,3.0,4.0,0.0,2.0,0.0,3.0,8.0
428,DeAndre' Bembry,ATL,1567200.0,2017.0,22.0,SF,38.0,1.0,371.0,1.0,18.0,46.0,80.0,14.0,45.0,28.0,8.0,5.0,21.0,101.0
429,Joffrey Lauvergne,SAS,1524305.0,2017.0,25.0,PF-C,70.0,1.0,980.0,33.0,98.0,115.0,238.0,72.0,179.0,70.0,25.0,6.0,83.0,375.0
430,Joffrey Lauvergne,SAS,1524305.0,2017.0,25.0,PF,50.0,0.0,739.0,27.0,78.0,84.0,166.0,51.0,132.0,51.0,18.0,6.0,71.0,286.0
431,Joffrey Lauvergne,SAS,1524305.0,2017.0,25.0,C,20.0,1.0,241.0,6.0,20.0,31.0,72.0,21.0,47.0,19.0,7.0,0.0,12.0,89.0
432,Jerami Grant,OKC,1524305.0,2017.0,22.0,SF,80.0,4.0,1531.0,43.0,116.0,109.0,212.0,38.0,168.0,46.0,33.0,79.0,149.0,437.0
433,Jerami Grant,OKC,1524305.0,2017.0,22.0,SF,2.0,0.0,41.0,0.0,2.0,6.0,15.0,0.0,7.0,0.0,0.0,4.0,5.0,16.0
434,Jerami Grant,OKC,1524305.0,2017.0,22.0,SF,78.0,4.0,1490.0,43.0,114.0,103.0,197.0,38.0,161.0,46.0,33.0,75.0,144.0,421.0
435,Johnny O'Bryant,NYK,1524305.0,2017.0,23.0,PF,11.0,0.0,80.0,3.0,6.0,12.0,24.0,9.0,10.0,6.0,0.0,1.0,10.0,38.0
436,Johnny O'Bryant,NYK,1524305.0,2017.0,23.0,PF,7.0,0.0,46.0,2.0,3.0,5.0,12.0,5.0,6.0,2.0,0.0,1.0,4.0,20.0
437,Johnny O'Bryant,NYK,1524305.0,2017.0,23.0,PF,4.0,0.0,34.0,1.0,3.0,7.0,12.0,4.0,4.0,4.0,0.0,0.0,6.0,18.0
438,Tyler Ennis,LAL,1524305.0,2017.0,22.0,PG,53.0,2.0,588.0,27.0,70.0,63.0,138.0,10.0,36.0,86.0,26.0,2.0,58.0,228.0
439,Tyler Ennis,LAL,1524305.0,2017.0,22.0,PG,31.0,0.0,196.0,6.0,16.0,19.0,48.0,4.0,15.0,34.0,6.0,0.0,29.0,58.0
440,Tyler Ennis,LAL,1524305.0,2017.0,22.0,PG,22.0,2.0,392.0,21.0,54.0,44.0,90.0,6.0,21.0,52.0,20.0,2.0,29.0,170.0
441,Julyan Stone,CHO,1524305.0,,,,,,,,,,,,,,,,,
442,Sean Kilpatrick,BRK,1524305.0,2017.0,27.0,SG,70.0,24.0,1754.0,105.0,308.0,200.0,427.0,22.0,258.0,157.0,46.0,6.0,118.0,919.0
443,Joe Harris,BRK,1524305.0,2017.0,25.0,SG,52.0,11.0,1138.0,85.0,221.0,69.0,141.0,16.0,131.0,54.0,30.0,8.0,121.0,428.0
444,Spencer Dinwiddie,BRK,1524305.0,2017.0,23.0,PG,59.0,18.0,1334.0,38.0,101.0,96.0,201.0,27.0,137.0,185.0,44.0,23.0,119.0,432.0
445,Shane Larkin,BOS,1524305.0,,,,,,,,,,,,,,,,,
446,Glenn Robinson,IND,1524305.0,2017.0,23.0,SF,69.0,27.0,1426.0,49.0,125.0,109.0,213.0,57.0,188.0,47.0,41.0,20.0,63.0,419.0
447,Bobby Brown,HOU,1524305.0,2017.0,32.0,PG,25.0,0.0,123.0,14.0,35.0,9.0,25.0,0.0,6.0,14.0,1.0,0.0,5.0,62.0
448,Bobby Portis,CHI,1516320.0,2017.0,21.0,PF,64.0,13.0,1000.0,32.0,96.0,151.0,279.0,75.0,221.0,35.0,16.0,11.0,94.0,437.0
449,Malachi Richardson,TOR,1504560.0,2017.0,21.0,SG,22.0,0.0,198.0,8.0,28.0,20.0,40.0,3.0,20.0,11.0,5.0,1.0,23.0,79.0
450,Arron Afflalo,SAC,1500000.0,2017.0,31.0,SG,61.0,45.0,1580.0,62.0,151.0,123.0,269.0,9.0,116.0,78.0,21.0,7.0,104.0,515.0
451,Norman Powell,TOR,1471382.0,2017.0,23.0,SG,76.0,18.0,1368.0,56.0,173.0,171.0,333.0,26.0,142.0,82.0,51.0,14.0,127.0,636.0
452,Josh Richardson,MIA,1471382.0,2017.0,23.0,SG,53.0,34.0,1614.0,75.0,227.0,127.0,286.0,35.0,133.0,140.0,60.0,39.0,132.0,539.0
453,Rondae Hollis-Jefferson,BRK,1471382.0,2017.0,22.0,SF,78.0,50.0,1761.0,15.0,67.0,220.0,475.0,96.0,356.0,154.0,82.0,44.0,177.0,675.0
454,Tyus Jones,MIN,1471382.0,2017.0,20.0,PG,60.0,0.0,774.0,26.0,73.0,49.0,108.0,10.0,57.0,156.0,47.0,5.0,50.0,209.0
455,Jarell Martin,MEM,1471382.0,2017.0,22.0,PF,42.0,3.0,558.0,9.0,25.0,49.0,126.0,42.0,120.0,8.0,17.0,9.0,91.0,165.0
456,Larry Nance,CLE,1471382.0,2017.0,24.0,PF,63.0,7.0,1442.0,10.0,36.0,180.0,325.0,120.0,249.0,96.0,82.0,40.0,149.0,449.0
457,Troy Williams,HOU,1471382.0,2017.0,22.0,SF,30.0,16.0,557.0,18.0,62.0,55.0,105.0,15.0,54.0,25.0,27.0,10.0,60.0,185.0
458,Troy Williams,HOU,1471382.0,2017.0,22.0,SF,24.0,13.0,418.0,10.0,41.0,41.0,82.0,6.0,39.0,19.0,24.0,9.0,42.0,127.0
459,Troy Williams,HOU,1471382.0,2017.0,22.0,SF,6.0,3.0,139.0,8.0,21.0,14.0,23.0,9.0,15.0,6.0,3.0,1.0,18.0,58.0
460,Chris McCullough,WAS,1471382.0,2017.0,21.0,PF,16.0,0.0,80.0,1.0,7.0,15.0,25.0,9.0,10.0,2.0,2.0,2.0,7.0,36.0
461,Chris McCullough,WAS,1471382.0,2017.0,21.0,PF,14.0,0.0,72.0,1.0,6.0,15.0,25.0,9.0,8.0,2.0,1.0,2.0,7.0,35.0
462,Chris McCullough,WAS,1471382.0,2017.0,21.0,PF,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
463,Raul Neto,UTA,1471382.0,2017.0,24.0,PG,40.0,0.0,346.0,10.0,31.0,31.0,60.0,4.0,26.0,34.0,21.0,5.0,48.0,100.0
464,Pat Connaughton,POR,1471382.0,2017.0,24.0,SG,39.0,1.0,316.0,17.0,33.0,20.0,39.0,10.0,42.0,28.0,6.0,2.0,23.0,98.0
465,Richaun Holmes,PHI,1471382.0,2017.0,23.0,C,57.0,17.0,1193.0,27.0,77.0,203.0,335.0,94.0,217.0,58.0,42.0,55.0,136.0,559.0
466,T.J. McConnell,PHI,1471382.0,2017.0,24.0,PG,81.0,51.0,2133.0,11.0,55.0,225.0,457.0,39.0,212.0,534.0,134.0,10.0,139.0,556.0
467,Josh Huestis,OKC,1471382.0,2017.0,25.0,PF,2.0,0.0,31.0,2.0,4.0,4.0,7.0,4.0,5.0,3.0,0.0,3.0,0.0,14.0
468,Jordan Mickey,MIA,1471382.0,2017.0,22.0,PF,25.0,1.0,141.0,0.0,1.0,15.0,33.0,13.0,21.0,7.0,3.0,6.0,12.0,38.0
469,Montrezl Harrell,LAC,1471382.0,2017.0,23.0,C,58.0,14.0,1064.0,1.0,7.0,224.0,338.0,81.0,138.0,64.0,20.0,42.0,126.0,527.0
470,Joe Young,IND,1471382.0,2017.0,24.0,PG,33.0,0.0,135.0,5.0,23.0,21.0,49.0,1.0,16.0,15.0,4.0,0.0,5.0,68.0
471,Kevon Looney,GSW,1471382.0,2017.0,20.0,C,53.0,4.0,447.0,2.0,9.0,54.0,98.0,44.0,80.0,29.0,14.0,17.0,64.0,135.0
472,Nikola Jokic,DEN,1471382.0,2017.0,21.0,C,73.0,59.0,2038.0,45.0,139.0,449.0,715.0,212.0,506.0,359.0,61.0,56.0,214.0,1221.0
473,Salah Mejri,DAL,1471382.0,2017.0,30.0,C,73.0,11.0,905.0,1.0,3.0,87.0,134.0,97.0,211.0,14.0,32.0,61.0,152.0,213.0
474,Caleb Swanigan,POR,1465920.0,,,,,,,,,,,,,,,,,
475,Furkan Korkmaz,PHI,1465920.0,,,,,,,,,,,,,,,,,
476,Willy Hernangomez,CHO,1435750.0,2017.0,22.0,C,72.0,22.0,1324.0,4.0,15.0,242.0,450.0,170.0,332.0,96.0,41.0,36.0,150.0,587.0
477,Kyle Kuzma,LAL,1423560.0,,,,,,,,,,,,,,,,,
478,Tony Bradley,UTA,1414920.0,,,,,,,,,,,,,,,,,
479,Derrick White,SAS,1404600.0,,,,,,,,,,,,,,,,,
480,Josh Hart,LAL,1394520.0,,,,,,,,,,,,,,,,,
481,Timothe Luwawu-Cabarrot,PHI,1386600.0,2017.0,21.0,SF,69.0,19.0,1190.0,50.0,161.0,95.0,200.0,25.0,124.0,75.0,32.0,10.0,154.0,445.0
482,Kevin Martin,MIN,1360305.0,,,,,,,,,,,,,,,,,
483,Brice Johnson,MEM,1331160.0,2017.0,22.0,PF,3.0,0.0,9.0,0.0,0.0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,0.0,4.0
484,Pascal Siakam,TOR,1312611.0,2017.0,22.0,PF,55.0,38.0,859.0,1.0,7.0,102.0,198.0,64.0,121.0,17.0,26.0,45.0,109.0,229.0
485,Dejounte Murray,SAS,1312611.0,2017.0,20.0,PG,38.0,8.0,322.0,9.0,23.0,41.0,93.0,6.0,36.0,48.0,8.0,6.0,29.0,130.0
486,Skal Labissiere,SAC,1312611.0,2017.0,20.0,PF,33.0,12.0,612.0,3.0,8.0,114.0,210.0,51.0,111.0,27.0,16.0,13.0,64.0,289.0
487,A.J. Hammons,MIA,1312611.0,2017.0,24.0,C,22.0,0.0,163.0,5.0,10.0,12.0,32.0,8.0,28.0,4.0,1.0,13.0,21.0,48.0
488,Deyonta Davis,MEM,1312611.0,2017.0,20.0,C,36.0,0.0,238.0,0.0,0.0,24.0,47.0,20.0,40.0,2.0,3.0,17.0,40.0,58.0
489,Chinanu Onuaku,HOU,1312611.0,2017.0,20.0,C,5.0,1.0,52.0,0.0,0.0,5.0,7.0,2.0,8.0,3.0,3.0,1.0,6.0,14.0
490,Damian Jones,GSW,1312611.0,2017.0,21.0,C,10.0,0.0,85.0,0.0,0.0,8.0,16.0,9.0,14.0,0.0,1.0,4.0,15.0,19.0
491,Wayne Selden,MEM,1312611.0,2017.0,22.0,SG,14.0,5.0,236.0,7.0,28.0,18.0,30.0,1.0,15.0,13.0,6.0,1.0,18.0,71.0
492,Wayne Selden,MEM,1312611.0,2017.0,22.0,SG,3.0,3.0,47.0,4.0,7.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,6.0,16.0
493,Wayne Selden,MEM,1312611.0,2017.0,22.0,SG,11.0,2.0,189.0,3.0,21.0,17.0,29.0,1.0,10.0,12.0,4.0,1.0,12.0,55.0
